_id|f001|f008|f040|f072|f190|f490|f550|f590|f680|fLDR
000058595||030904---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qAngelica 2MGB"|"qAngélique 2MGB"||"qAkkordinstrument 2MGB##qZupfinstrument 2MGB##qLaute 2MGB##qErzlaute 2MGB"|iLauteninstrument|-----nz---22-----n--4500
000058598||030904---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qBandoneón 2MGB"|"qBandonion 2MGB"|"qAkkordeon 2MGB##qBajan 2MGB##qSchwyzerorgel 2MGB"|"qAkkordinstrument 2MGB##qTasteninstrument 2MGB"||-----nz---22-----n--4500
000058599||030904---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qBandura 2MGB"|"qBandoura 2MGB"||"qZupfinstrument 2MGB##qLaute 2MGB"|"iUkrainisches Zupfinstrument"|-----nz---22-----n--4500
000058600||030904---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qBariton 2MGB"|"qBassbariton 2MGB"||"qBariton elektrisch verstärkt 2MGB##qMännersingstimme 2MGB##qMännerstimme 2MGB##qSingstimme 2MGB##qSingstimme mittel 2MGB##qSingstimme tief 2MGB"|iMännerstimme|-----nz---22-----n--4500
000058601||030904---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qBaryton 2MGB"|||"qAltes Instrument 2MGB##qSaiteninstrument 2MGB##qStreichinstrument 2MGB##qVioloncello 2MGB##qViola da gamba 2MGB"|iStreichinstrument|-----nz---22-----n--4500
000058602||030904---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qBass 2MGB"|||"qBass elektrisch verstärkt 2MGB##qMännersingstimme 2MGB##qMännerstimme 2MGB##qSingstimme 2MGB##qSingstimme tief 2MGB"|iMännerstimme|-----nz---22-----n--4500
000058603||030904---a-z--ba-n|"aSzZuIDS BS/BE"|amu|"qBasso continuo 2MGB"|"qGeneralbass 2MGB##qBasse continue 2MGB##qThorough bass 2MGB"||||-----nz---22-----n--4500
000058608||030904---a-z--ba-n|"aSzZuIDS BS/BE A100"|amu|"aSingspiel 2MGB"|||"aBallad opera 2MGB##aJig 2MGB##aLiederspiel 2MGB##aOper 2MGB"||-----nz---22-----n--4500
000058609||030904---a-z--ba-n|"aSzZuIDS BS/BE"|amu|"aOper 2MGB"|"aDramma in musica 2MGB##aDramma musicale 2MGB##aDramma per musica 2MGB##aFavola 2MGB##aFavola per musica 2MGB##aFavola pastorale 2MGB##aMusikdrama 2MGB##aOpera buffa 2MGB##aOpera comique 2MGB##aOpera seria 2MGB##aRadiooper 2MGB##aTragedia 2MGB"||"aDramma sacro 2MGB##aFarce 2MGB##aKantate 2MGB##aMonodie 2MGB##aMusiktheater 2MGB wg##aOpéra-ballet 2MGB##aOperette 2MGB##aOratorium 2MGB##aPantomime 2MGB##aRockoper 2MGB##aSchuloper 2MGB##aSerenata 2MGB##aSingspiel 2MGB##aTragédie lyrique 2MGB##aZarzuela 2MGB"||-----nz---22-----n--4500
000058630||030908---a-z--ba-n|"aSzZuIDS BS/BE"|amu|"qBügelhorn 2MGB"|"qAlthorn 2MGB##qBaritonhorn 2MGB##qBariton [Blechblasinstrument] 2MGB##qFlügelhorn 2MGB##qTenorhorn 2MGB"||"qBlasinstrument 2MGB##qBlechblasinstrument 2MGB##qBig band 2MGB##qBlechblasorchester 2MGB##qSaxhorn 2MGB##qTuba 2MGB"|iBlechblasinstrument|-----nz---22-----n--4500
000058631||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qBuk 2MGB"|||"qSchlagzeug 2MGB##qTrommel 2MGB"|"iKoreanische Trommel"|-----nz---22-----n--4500
000058632||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qCarillon 2MGB"|||"qSchlagzeug 2MGB##qGlockenspiel 2MGB##qMilitärglockenspiel 2MGB##qRöhrenglockenspiel 2MGB##qGlockenspiel 2MGB"|iTurmglockenspiel|-----nz---22-----n--4500
000058633||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qCembalo elektrisch verstärkt 2MGB"|"qCembalo verstärkt 2MGB"||"qCembalo 2MGB##qE-Cembalo 2MGB"||-----nz---22-----n--4500
000058634||030908---a-z--ba-n|"aSzZuIDS BS/BE"|amu|"qChor 2MGB"|"qChorgruppe 2MGB##qGemischter Chor 2MGB##qKammerchor 2MGB##qVokalensemble 2MGB"||"qFrauenchor 2MGB##qKinderchor 2MGB##qKnabenchor 2MGB##qKnabensprechchor 2MGB##qMädchenchor 2MGB##qMännerchor 2MGB##qSprechchor 2MGB"|igemischt|-----nz---22-----n--4500
000058635||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qCimbalom 2MGB"|"qCymbalum 2MGB##qCzimbal 2MGB##qZimbal 2MGB##qZimbalon 2MGB"||"qAkkordinstrument 2MGB##qSaiteninstrument 2MGB##qTasteninstrument 2MGB##qHackbrett 2MGB"|"iUngarisches Hackbrett"|-----nz---22-----n--4500
000058636||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qCister 2MGB"|"qCither 2MGB##qCitter 2MGB##qSister 2MGB##qZister 2MGB##qZitter 2MGB"||"qZupfinstrument 2MGB##qLaute 2MGB"|"iZupfinstrument mit birnenförmigen Resonanzkörper"|-----nz---22-----n--4500
000058637||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qClaves 2MGB"|"qRumbastäbchen 2MGB##qCuban sticks 2MGB"||"qHolzwürfel 2MGB##qHolzbrett 2MGB##qHolzblocktrommel 2MGB##qSchlagzeug 2MGB"||-----nz---22-----n--4500
000058638||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qClavichord 2MGB"|"qKlavichord 2MGB"||"qAkkordinstrument 2MGB##qAltes Instrument 2MGB##qSaiteninstrument 2MGB##qTasteninstrument 2MGB##qCembalo 2MGB"||-----nz---22-----n--4500
000058640||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qCountertenor 2MGB"|"qAltus 2MGB##qHaute-contre 2MGB##qKontratenor 2MGB"||"qMännersingstimme 2MGB##qMännerstimme 2MGB##qSingstimme 2MGB##qSingstimme hoch 2MGB##qSingstimme mittel 2MGB"|iMännerstimme|-----nz---22-----n--4500
000058641||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qCzakan 2MGB"|"qCsakan 2MGB"||"qBlasinstrument 2MGB##qHolzblasinstrument 2MGB##qHirtenflöte 2MGB##qFlöte 2MGB"|iSpazierstockflöte|-----nz---22-----n--4500
000058643||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qMarimbaphon 2MGB"|"qXylomarimba 2MGB##qXylorimba 2MGB"||"qAkkordinstrument 2MGB##qSchlagzeug 2MGB##qMarimba 2MGB##qXylophon 2MGB"||-----nz---22-----n--4500
000058644||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qMundorgel 2MGB"|||"qKhāēn 2MGB##qSheng 2MGB##qShō 2MGB##qBlasinstrument 2MGB##qHolzblasinstrument 2MGB"|"iAerophon mit durchschlagenden Zungen"|-----nz---22-----n--4500
000058645||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qOboe da caccia 2MGB"|"qJagdoboe 2MGB"||"qBlasinstrument 2MGB##qHolzblasinstrument 2MGB##qOboe 2MGB##qOboe d'amore 2MGB##qEnglischhorn 2MGB"||-----nz---22-----n--4500
000058646||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qOndes Martenot 2MGB"|"qMartenot 2MGB##qOndes musicales 2MGB"||"qTheremingerät 2MGB##qE-Tasteninstrument 2MGB"|"iElektronisches Tasteninstrument"|-----nz---22-----n--4500
000058647||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qOrff-Instrumentarium 2MGB"|||"qKinderorchester 2MGB##qSchlagzeug 2MGB"|"iSammelbezeichnung für die Instrumente des con Carl Orff verfassten ""Orff-Schulwerks"""|-----nz---22-----n--4500
000058648||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qOrpheoreon 2MGB"|"qOrpharion 2MGB"||"qZupfinstrument 2MGB##qLaute 2MGB"|iZupfinstrument|-----nz---22-----n--4500
000058649||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qPauke 2MGB"|"qMaschinenpauke 2MGB##qPauken 2MGB##qPedalpauke 2MGB##qSchraubenpauke 2MGB"||"qTrommel 2MGB##qSchlagzeug 2MGB"|"iOhne Zahlangabe, wird bei Orchesterwerken nur wenn solistisch tätig erwähnt"|-----nz---22-----n--4500
000058650||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qPenny whistle 2MGB"|"qPfennigpfeife 2MGB"||"qBlasinstrument 2MGB##qHolzblasinstrument 2MGB##qPfeife 2MGB"|"iPrimitive Metall- oder Kunststoffflöte"|-----nz---22-----n--4500
000058651||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qPerformer 2MGB"||"qAusführender 2MGB"||"iPerson, die Performances ausführt, jemand der ""etwas"" macht, ohne ein Musikinstrument zu benützen"|-----nz---22-----n--4500
000058652||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qP'i-p'a 2MGB"|"qĐàn tỳ bà 2MGB##qPipa 2MGB##qPip'a 2MGB##qTang-pip'a 2MGB##qHyang-pip'a 2MGB"||"qZupfinstrument 2MGB##qLaute 2MGB"|iKurzhalslaute|-----nz---22-----n--4500
000058653||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qPommer 2MGB"|"qBombarde 2MGB##qBombart 2MGB##qBomhart 2MGB"||"qBlasinstrument 2MGB##qHolzblasinstrument 2MGB##qAltes Instrument 2MGB##qMelodieinstrument 2MGB##qSchalmei 2MGB"||-----nz---22-----n--4500
000058656||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qPsalterium 2MGB"|"qPsalter 2MGB"||"qQānūn 2MGB##qZupfinstrument 2MGB##qZither 2MGB"|iBrett-(Kasten-)Zither|-----nz---22-----n--4500
000058659||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qRhodes 2MGB"|"qFender-Rhodes-Piano 2MGB##qKlavier Fender Rhodes 2MGB"||"qChromelodeon 2MGB##qComputerflügel 2MGB##qKlavier 2MGB##qKlavier elektrisch verstärkt 2MGB##qE-Klavier 2MGB##qE-Tasteninstrument 2MGB##qElektronium 2MGB##qPräpariertes Klavier 2MGB##qMIDI Klavier 2MGB"||-----nz---22-----n--4500
000058660||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qSackpfeife 2MGB"|"qBagpipe 2MGB##qBock 2MGB##qDudelsack 2MGB"||"qBlasinstrument 2MGB##qHolzblasinstrument 2MGB##qMusette [Holzblasinstrument] 2MGB"||-----nz---22-----n--4500
000058662||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qDrehleier 2MGB"|"qHurdy-gurdy 2MGB##qLira tedesca 2MGB##qRadleier 2MGB##qVielle 2MGB"||"qAltes Instrument 2MGB##qSaiteninstrument 2MGB##qStreichinstrument 2MGB##qLira organizzata 2MGB##qSchlüsselfidel 2MGB"||-----nz---22-----n--4500
000058663||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qDrehorgel 2MGB"|"qLeierkasten 2MGB"||"qMechanisches Musikinstrument 2MGB##qTasteninstrument 2MGB"||-----nz---22-----n--4500
000058664||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qSanṭūr 2MGB"|||"qZupfinstrument 2MGB##qZither 2MGB"|"iTrapezförmige Kastenzither"|-----nz---22-----n--4500
000058665||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qDunbak 2MGB"|"qArabische Trommel 2MGB##qDarābukka 2MGB##qDerbuka 2MGB##qDombak 2MGB##qDombek 2MGB##qDümbelek 2MGB##qTombak 2MGB##qZạrb 2MGB"||"qSchlagzeug 2MGB##qTrommel 2MGB"|"iEinfellige Bechertrommel"|-----nz---22-----n--4500
000058666||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qSchalmei 2MGB"|||"qBlasinstrument 2MGB##qHolzblasinstrument 2MGB##qAltes Instrument 2MGB##qMelodieinstrument 2MGB##qOboe 2MGB##qPommer 2MGB"|iDoppelrohrblattinstrument|-----nz---22-----n--4500
000058667||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qE-Flöte 2MGB"|"qElektrische Flöte 2MGB##qElektronische Flöte 2MGB"||"qFlöte 2MGB##qMIDI Flöte 2MGB##qPikkoloflöte 2MGB##qPikkoloflöte elektrisch verstärkt 2MGB"|"iNicht das gleiche wie Flöte elektrisch verstärkt"|-----nz---22-----n--4500
000058669||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qElektrische Verstärkung 2MGB"|"qKontaktmikrophon 2MGB##qLautsprecher 2MGB##qLautsprechergruppe 2MGB##qMikrophon 2MGB##qVerstärker 2MGB"||"qCembalo elektrisch verstärkt 2MGB##qKlavier elektrisch verstärkt 2MGB##qKontrabass elektrisch verstärkt 2MGB##qMikrophon [als selbstständiger Klangerzeuger] 2MGB##qPikkoloflöte elektrisch verstärkt 2MGB##qTamtam elektrisch verstärkt 2MGB##qViola elektrisch verstärkt 2MGB##qVioline elektrisch verstärkt 2MGB##qVioloncello elektrisch verstärkt 2MGB"|"iNicht definierbar welches Instrument, bzw. alle beteiligten Instrumente werden verstärkt"|-----nz---22-----n--4500
000058670||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qSchlagzeug 2MGB"|"qSchlaginstrument 2MGB##qSchlagzeugerIn 2MGB##qSchlagzeugensemble 2MGB"||"qMIDI Schlagzeug 2MGB##qOrff-Instrumentarium 2MGB##qSchlagzeug elektrisch verstärkt 2MGB"|"imit Zahlangabe möglich, diese bezieht sich auf die Anzahl Spieler"|-----nz---22-----n--4500
000058671||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qE-Bass 2MGB"|"qElektrobass 2MGB##qElektrobassgitarre 2MGB"||"qBand 2MGB##qBig band 2MGB##qE-Gitarre 2MGB"||-----nz---22-----n--4500
000058672||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qSelbstspielklavier 2MGB"|"qInner player 2MGB##qPianola 2MGB##qPlayer piano 2MGB"||"qReproduktionsklavier 2MGB##qMechanisches Musikinstrument 2MGB"||-----nz---22-----n--4500
000058673||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qE-Gitarre 2MGB"|"qElektrische Gitarre 2MGB##qElektrogitarre 2MGB"||"qBand 2MGB##qBig band 2MGB##qE-Bass 2MGB"||-----nz---22-----n--4500
000058674||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qShakuhachi 2MGB"|||"qBlasinstrument 2MGB##qHolzblasinstrument 2MGB##qRyūteki 2MGB"|"iJapanische Bambus-Kerbflöte"|-----nz---22-----n--4500
000058677||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qEnsemble 2MGB"|"qInstrumentalensemble 2MGB##qInstrumentalgruppe 2MGB##qInstrumentengruppe 2MGB##qKammerensemble 2MGB"||"qBand 2MGB##qBig band 2MGB##qBlechblasorchester 2MGB##qGagaku 2MGB##qGamĕlan 2MGB##qHarmoniemusik 2MGB##qJazzband 2MGB##qJazzorchester 2MGB##qKinderorchester 2MGB##qOrchester 2MGB##qOrff-Instrumentarium 2MGB##qStreichorchester 2MGB"|"iMehr als 10 Instrumenten, solistisch besetzt"|-----nz---22-----n--4500
000058678||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qSopran 2MGB"|||"qSopran elektrisch verstärkt 2MGB##qSingstimme hoch 2MGB##qFrauensingstimme 2MGB##qFrauenstimme 2MGB##qSingstimme 2MGB"|iSingstimme|-----nz---22-----n--4500
000058679||030908---a-z--ba-n|"aSzZuIDS BS/BE"|amu|"qE-Orgel 2MGB"|"qElectric organ 2MGB##qElectronic organ 2MGB##qElektrische Orgel 2MGB##qElektronenorgel 2MGB##qElektronische Orgel 2MGB##qHammond-Orgel 2MGB##qNovachord 2MGB"||"qOrgel 2MGB##qE-Tasteninstrument 2MGB##qE-Klavier 2MGB"||-----nz---22-----n--4500
000058681||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qSprechstimme 2MGB"|"qErzählerIn 2MGB##qRécitant 2MGB##qSimultandolmetscherIn 2MGB##qSprecherIn 2MGB"||"qFrauensprechstimme 2MGB##qKindersprechstimme 2MGB##qKnabensprechstimme 2MGB##qMännersprechstimme 2MGB##qSprechstimme elektrisch verstärkt 2MGB"|"iKein(e) Sänger(in)"|-----nz---22-----n--4500
000058682||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qE-Klavier 2MGB"|"qDigital piano 2MGB##qElectric piano 2MGB##qElektrisches Klavier 2MGB##qElektroklavier 2MGB##qElektronisches Klavier 2MGB##qE-piano 2MGB##qKeyboard 2MGB"||"qChromelodeon 2MGB##qComputerflügel 2MGB##qKlavier 2MGB##qKlavier elektrisch verstärkt 2MGB##qE-Tasteninstrument 2MGB##qElektronium 2MGB##qMIDI Klavier 2MGB##qPräpariertes Klavier 2MGB##qRhodes 2MGB##qLive-Elektronik 2MGB##qSynthesizer 2MGB##qZuspielaufnahme 2MGB"|"iNicht das gleiche wie Klavier elektrisch verstärkt"|-----nz---22-----n--4500
000058683||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qStreichorchester 2MGB"|"qStreicher 2MGB"||"qKinderorchester 2MGB##qOrchester 2MGB"|"iNur wenn chorisch besetzt"|-----nz---22-----n--4500
000058685||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qTamburin 2MGB"|"qRahmentrommel 2MGB##qSchellentrommel 2MGB"||"qMazhar 2MGB##qRiqq 2MGB##qSchlagzeug 2MGB##qTrommel 2MGB"||-----nz---22-----n--4500
000058687||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qEuphonium 2MGB"|||"qBlasinstrument 2MGB##qBlechblasinstrument 2MGB##qBügelhorn 2MGB##qBlechblasorchester 2MGB##qEuphonium elektrisch verstärkt 2MGB"|"iBlechblasinstrument in Baritonlage, Vorläufer des Baritonhorns"|-----nz---22-----n--4500
000058689||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qFagott 2MGB"|"qKontrafagott 2MGB"||"qFagott elektrisch verstärkt 2MGB##qBlasinstrument 2MGB##qHolzblasinstrument 2MGB##qBasso continuo 2MGB"||-----nz---22-----n--4500
000058690||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qFidel 2MGB"|"qFiedel 2MGB"||"qAltes Instrument 2MGB##qMelodieinstrument 2MGB##qSaiteninstrument 2MGB##qStreichinstrument 2MGB##qVioline 2MGB##qQobuz 2MGB"|"iMittelalterliches Streichinstrument"|-----nz---22-----n--4500
000058692||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qFlöte 2MGB"|"qAltflöte [nicht zu verwechseln mit Altblockflöte] 2MGB##qBambusflöte 2MGB##qBassflöte [nicht zu verwechseln mit Bassblockflöte] 2MGB##qFlöte in C [Querflöte] 2MGB##qQuerflöte 2MGB##qTraversflöte 2MGB"||"qBlasinstrument 2MGB##qBlockflöte 2MGB##qCzakan 2MGB##qDūduk [Flöte] 2MGB##qE-Flöte 2MGB##qFlöte elektrisch verstärkt 2MGB##qHirtenflöte 2MGB##qGrosse Flöte 2MGB##qHolzblasinstrument 2MGB##qMelodieinstrument 2MGB##qMIDI Flöte 2MGB##qOkarina 2MGB##qPanflöte 2MGB##qPikkoloflöte 2MGB##qPikkoloflöte elektrisch verstärkt 2MGB##qRyūteki 2MGB##qShakuhachi 2MGB##qTaegŭm 2MGB##qTranssylvanische Flöte 2MGB"||-----nz---22-----n--4500
000058693||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qFrauensprechstimme 2MGB"|||"qFrauenstimme 2MGB##qSprechstimme 2MGB"|"iKeine Sängerin"|-----nz---22-----n--4500
000058694||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qTheremingerät 2MGB"|"qÄtherophon 2MGB##qThereminovox 2MGB"||"qOndes Martenot 2MGB"|"iElektronisches Musikinstrument"|-----nz---22-----n--4500
000058695||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qZuspielaufnahme 2MGB"|"qComputerklänge 2MGB##qComputerklang 2MGB##qMusique concrète 2MGB##qRecord-player / Record 2MGB##qSchallplattenspieler / Schallplatte 2MGB##qTonband 2MGB##qToninstallation 2MGB"||"qComputer [real-time computer performance] 2MGB##qComputermusik 2MGB##qDispositif électronique 2MGB##qElektronik 2MGB##qElektronische Musik 2MGB##qElektronischer Klang 2MGB##qKeyboard 2MGB##qSampler 2MGB##qSampling 2MGB##qSound sampler 2MGB##qElektronischer Klangerzeuger 2MGB##qLive-Elektronik 2MGB##qMagnetophon 2MGB##qTonaufnahme 2MGB"|"iVorproduzierte Tonaufnahme, nur zusammen mit weiteren Besetzungsangaben"|-----nz---22-----n--4500
000058696||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qGamĕlan 2MGB"||||"iSammelbegriff für verschiedene Arten von Instrumentalensembles in Java, Bali, usw."|-----nz---22-----n--4500
000058697||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qTrautonium 2MGB"|||"qElektronischer Klangerzeuger 2MGB"|"iElektronisches Musikinstrument"|-----nz---22-----n--4500
000058698||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qGlocke 2MGB"|"qGeisha-Glocke 2MGB##qJapanische Tempelglocke 2MGB"||"qKirchenglocke 2MGB##qRöhrenglocke 2MGB##qSchlagzeug 2MGB"||-----nz---22-----n--4500
000058699||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qHackbrett 2MGB"|||"qAkkordinstrument 2MGB##qSaiteninstrument 2MGB##qTasteninstrument 2MGB##qCimbalom 2MGB"|iSchlagsaiteninstrument|-----nz---22-----n--4500
000058700||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qHammerklavier 2MGB"|"qHammerflügel 2MGB"||"qAkkordinstrument 2MGB##qAltes Instrument 2MGB##qSaiteninstrument 2MGB##qTasteninstrument 2MGB##qKlavier 2MGB"||-----nz---22-----n--4500
000058701||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qViola bastarda 2MGB"|"qLyra viol 2MGB##qDivision viol 2MGB"||"qViola da gamba 2MGB##qAltes Instrument 2MGB##qStreichinstrument 2MGB##qSaiteninstrument 2MGB"|"iKleine Bassgambe"|-----nz---22-----n--4500
000058703||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qViola da gamba 2MGB"|"qGambe 2MGB##qVihuela de arco 2MGB##qViole 2MGB##qDiskantgambe 2MGB##qAltgambe 2MGB##qTenorgambe 2MGB##qBassgambe 2MGB"||"qViola bastarda 2MGB##qViolone 2MGB##qAltes Instrument 2MGB##qBasso continuo 2MGB##qMelodieinstrument 2MGB##qSaiteninstrument 2MGB##qStreichinstrument 2MGB"||-----nz---22-----n--4500
000058704||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qHeckelphon 2MGB"|||"qBlasinstrument 2MGB##qHolzblasinstrument 2MGB##qOboe 2MGB"|iBaritonoboe|-----nz---22-----n--4500
000058705||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qHichiriki 2MGB"|||"qBlasinstrument 2MGB##qHolzblasinstrument 2MGB##qGagaku 2MGB"|iDoppelrohrblattoboe|-----nz---22-----n--4500
000058706||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qZimbel 2MGB"|"qCrotales 2MGB##qCymbala 2MGB##qCymbales antiques 2MGB##qKymbala 2MGB"||"qSchlagzeug 2MGB##qBecken 2MGB"|"iKleine, paarweise gespielte eherne Becken"|-----nz---22-----n--4500
000058707||030908---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qHolzblocktrommel 2MGB"|"qHolzblock 2MGB##qWood block 2MGB"||"qClaves 2MGB##qHolzbrett 2MGB##qHolzwürfel 2MGB##qSchlagzeug 2MGB"||-----nz---22-----n--4500
